ligne_id,vente_id,ext_id,session_id,famille,designation,quantite,total,vente_date
427.0,400204.0,R57367911,,ACCESSORIES,PORTE-CLES METAL,1.0,7.2,2025-09-05
832.0,400413.0,R54531895,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-09-12
833.0,400413.0,R54531895,,MATCHWEAR,MAILLOT DOMICILE,1.0,85.5,2025-09-12
834.0,400413.0,R54531895,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-09-12
837.0,400416.0,R56155598,,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-09-12
838.0,400416.0,R56155598,,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-09-12
1408.0,400683.0,R52214142,,MATCHWEAR,MAILLOT DOMICILE,1.0,90.0,2025-09-22
1409.0,400683.0,R52214142,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-09-22
1525.0,400749.0,R53722055,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-09-26
1526.0,400749.0,R53722055,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-09-26
1527.0,400749.0,R53722055,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-09-26
1528.0,400749.0,R53722055,,FAN SEGMENT,HOODIE FAN CAPUCHE,3.0,207.0,2025-09-26
1763.0,400863.0,R59502923,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,98.0,2025-09-30
2585.0,401278.0,R53369369,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-10-09
2754.0,401362.0,R51972687,1039.0,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-10-09
2755.0,401362.0,R51972687,1039.0,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-10-09
2756.0,401362.0,R51972687,1039.0,FAN SEGMENT,HOODIE FAN CAPUCHE,3.0,207.0,2025-10-09
2857.0,401414.0,R57741161,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-10-09
2858.0,401414.0,R57741161,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-10-09
2859.0,401414.0,R57741161,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-10-09
2945.0,401450.0,R52497147,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,18.0,2025-10-09
2946.0,401450.0,R52497147,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,69.0,2025-10-09
2948.0,401452.0,R53803239,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,69.0,2025-10-09
3332.0,401627.0,R57910617,,MATCHWEAR,MAILLOT DOMICILE,1.0,90.0,2025-10-12
3333.0,401627.0,R57910617,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,88.2,2025-10-12
3334.0,401627.0,R57910617,,ACCESSORIES,GOURDE ISOTHERME,1.0,19.8,2025-10-12
3441.0,401687.0,R54361816,,MATCHWEAR,MAILLOT EXTERIEUR,2.0,180.0,2025-10-12
3442.0,401687.0,R54361816,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,18.0,2025-10-12
3493.0,401713.0,R58409522,,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-10-12
3494.0,401713.0,R58409522,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-10-12
4143.0,402019.0,R57910617,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,81.0,2025-10-15
4144.0,402019.0,R57910617,,FAN SEGMENT,T-SHIRT FAN LOGO,2.0,63.0,2025-10-15
4145.0,402019.0,R57910617,,FAN SEGMENT,HOODIE FAN CAPUCHE,2.0,124.2,2025-10-15
4301.0,402090.0,R53369369,,MATCHWEAR,SHORT DE MATCH,1.0,49.5,2025-10-15
5082.0,402473.0,R54361816,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,18.0,2025-10-17
5291.0,402575.0,R57662965,1018.0,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-10-17
5667.0,402765.0,R59916832,,LIMITED EDITION,T-SHIRT DROP CAPSULE,1.0,45.0,2025-10-17
5668.0,402765.0,R59916832,,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-10-17
5669.0,402765.0,R59916832,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-10-17
5834.0,402839.0,R58680277,,MATCHWEAR,MAILLOT EXTERIEUR,2.0,180.0,2025-10-18
6090.0,402953.0,R53369369,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-10-19
6091.0,402953.0,R53369369,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,88.2,2025-10-19
6388.0,403086.0,R54771310,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-10-21
6496.0,403148.0,R55030609,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-10-23
6532.0,403164.0,R59810093,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-10-24
6533.0,403164.0,R59810093,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-10-24
6534.0,403164.0,R59810093,,HEADWEAR,BONNET HIVER,2.0,50.0,2025-10-24
6570.0,403183.0,R56186861,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-10-25
6610.0,403205.0,R53680371,,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-10-25
6611.0,403205.0,R53680371,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-10-25
6612.0,403205.0,R53680371,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-10-25
6613.0,403205.0,R53680371,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-10-25
7160.0,403474.0,R57545537,,HEADWEAR,BONNET HIVER,1.0,25.0,2025-10-28
7161.0,403474.0,R57545537,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-10-28
7162.0,403474.0,R57545537,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-10-28
8171.0,403940.0,R57910617,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,62.1,2025-11-06
8172.0,403940.0,R57910617,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,88.2,2025-11-06
8173.0,403940.0,R57910617,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-06
8174.0,403940.0,R57910617,,MATCHWEAR,MAILLOT EXTERIEUR,2.0,162.0,2025-11-06
8320.0,404019.0,R54361816,,HEADWEAR,BONNET HIVER,1.0,25.0,2025-11-06
8320.0,404019.0,R54361816,,HEADWEAR,BONNET HIVER,1.0,25.0,2025-11-06
8321.0,404019.0,R54361816,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,81.0,2025-11-06
8322.0,404019.0,R54361816,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,81.0,2025-11-06
8323.0,404019.0,R54361816,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,81.0,2025-11-06
9304.0,404493.0,R54475767,1007.0,MATCHWEAR,MAILLOT DOMICILE,1.0,76.5,2025-11-09
9506.0,404592.0,R55503155,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-11-09
9507.0,404592.0,R55503155,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-09
10287.0,404967.0,R53845670,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,25.0,2025-11-11
10288.0,404967.0,R53845670,,FAN SEGMENT,ECHARPE SUPPORTER,2.0,40.0,2025-11-11
10289.0,404967.0,R53845670,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-11-11
10290.0,404967.0,R53845670,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-11
10291.0,404967.0,R53845670,,MATCHWEAR,MAILLOT EXTERIEUR,2.0,180.0,2025-11-11
10713.0,405150.0,R54361816,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-13
10714.0,405150.0,R54361816,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-11-13
12396.0,405948.0,R54591155,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,20.0,2025-11-30
12615.0,406059.0,R52845053,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-12-02
13279.0,406359.0,R54361816,,ACCESSORIES,PORTE-CLES METAL,3.0,21.6,2025-12-07
13489.0,406474.0,R55462563,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-12-07
13523.0,406491.0,R58395356,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-12-07
13524.0,406491.0,R58395356,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-12-07
14348.0,406878.0,R57910617,,LIMITED EDITION,HOODIE EDITION LIMITEE,1.0,85.5,2025-12-11
14603.0,406993.0,R56343655,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-12-11
14604.0,406993.0,R56343655,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,2.0,47.5,2025-12-11
15891.0,407616.0,R53369369,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,88.2,2025-12-16
15893.0,407618.0,R54361816,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,81.0,2025-12-16
17077.0,408158.0,R55025628,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,62.1,2025-12-21
17078.0,408158.0,R55025628,,ACCESSORIES,PORTE-CLES METAL,1.0,7.2,2025-12-21
17079.0,408158.0,R55025628,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,88.2,2025-12-21
17080.0,408158.0,R55025628,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,62.1,2025-12-21
17097.0,408168.0,R54361816,,FAN SEGMENT,HOODIE FAN CAPUCHE,3.0,207.0,2025-12-21
17286.0,408263.0,R52904792,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-12-21
17534.0,408382.0,R59179115,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-12-21
47.0,400027.0,R55745367,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-08-18
48.0,400027.0,R55745367,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-08-18
514.0,400250.0,R54849975,,FAN SEGMENT,T-SHIRT FAN LOGO,2.0,70.0,2025-09-06
2418.0,401196.0,R59638051,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-10-09
2419.0,401196.0,R59638051,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,25.0,2025-10-09
2681.0,401325.0,R56308158,,ACCESSORIES,GOURDE ISOTHERME,1.0,22.0,2025-10-09
3649.0,401800.0,R54600484,1034.0,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-10-12
3650.0,401800.0,R54600484,1034.0,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-10-12
3651.0,401800.0,R54600484,1034.0,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,25.0,2025-10-12
3652.0,401800.0,R54600484,1034.0,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-10-12
4260.0,402072.0,R59625513,,MATCHWEAR,SHORT DE MATCH,1.0,49.5,2025-10-15
4261.0,402072.0,R59625513,,MATCHWEAR,MAILLOT DOMICILE,1.0,90.0,2025-10-15
4486.0,402176.0,R57684142,,HEADWEAR,BONNET HIVER,1.0,25.0,2025-10-15
4812.0,402347.0,R54635693,,MATCHWEAR,SHORT DE MATCH,1.0,49.5,2025-10-16
4813.0,402347.0,R54635693,,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-10-16
4814.0,402347.0,R54635693,,HEADWEAR,BONNET HIVER,1.0,25.0,2025-10-16
5047.0,402460.0,R59625513,,ESSENTIALS,CHAUSSETTES PAIRE,1.0,10.8,2025-10-17
5048.0,402460.0,R59625513,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,35.1,2025-10-17
6055.0,402937.0,R59625513,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-10-19
6056.0,402937.0,R59625513,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,88.2,2025-10-19
6108.0,402963.0,R52583570,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,2.0,50.0,2025-10-19
6109.0,402963.0,R52583570,,FAN SEGMENT,T-SHIRT FAN LOGO,3.0,94.5,2025-10-19
6110.0,402963.0,R52583570,,ESSENTIALS,CHAUSSETTES PAIRE,2.0,21.6,2025-10-19
6111.0,402963.0,R52583570,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,15.0,2025-10-19
6187.0,402994.0,R51116125,,ESSENTIALS,T-SHIRT ESSENTIEL UNI,1.0,25.0,2025-10-19
6188.0,402994.0,R51116125,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-10-19
8499.0,404101.0,R56455288,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-11-06
11989.0,405760.0,R52738324,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-11-26
12008.0,405770.0,R59985967,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,15.0,2025-11-26
12009.0,405770.0,R59985967,,MATCHWEAR,SHORT DE MATCH,1.0,38.5,2025-11-26
12224.0,405870.0,R52882647,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,14.0,2025-11-29
12225.0,405870.0,R52882647,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,24.5,2025-11-29
12226.0,405870.0,R52882647,,FAN SEGMENT,T-SHIRT FAN LOGO,1.0,35.0,2025-11-29
13442.0,406444.0,R56306597,,MATCHWEAR,SHORT DE MATCH,1.0,55.0,2025-12-07
13593.0,406526.0,R53107072,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-12-08
14354.0,406881.0,R59638051,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,62.1,2025-12-11
14355.0,406881.0,R59638051,,FAN SEGMENT,DRAPEAU TRIBUNE,1.0,13.5,2025-12-11
14356.0,406881.0,R59638051,,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,49.5,2025-12-11
14693.0,407032.0,R59751322,1030.0,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-12-11
14694.0,407032.0,R59751322,1030.0,LIMITED EDITION,HOODIE EDITION LIMITEE,2.0,190.0,2025-12-11
14695.0,407032.0,R59751322,1030.0,FAN SEGMENT,ECHARPE SUPPORTER,1.0,20.0,2025-12-11
14750.0,407062.0,R53065331,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,2.0,78.0,2025-12-11
14898.0,407138.0,R52965412,1028.0,MATCHWEAR,MAILLOT EXTERIEUR,1.0,90.0,2025-12-11
14899.0,407138.0,R52965412,1028.0,HEADWEAR,BONNET HIVER,1.0,22.5,2025-12-11
15459.0,407410.0,R55285674,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-14
15743.0,407546.0,R59737903,,ACCESSORIES,MUG CERAMIQUE,2.0,21.6,2025-12-16
15744.0,407546.0,R59737903,,LIMITED EDITION,HOODIE EDITION LIMITEE,1.0,95.0,2025-12-16
15745.0,407546.0,R59737903,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,3.0,294.0,2025-12-16
15746.0,407546.0,R59737903,,MATCHWEAR,MAILLOT EXTERIEUR,2.0,180.0,2025-12-16
15747.0,407546.0,R59737903,,ACCESSORIES,PORTE-CLES METAL,1.0,7.2,2025-12-16
16212.0,407765.0,R59638051,,ACCESSORIES,PORTE-CLES METAL,1.0,8.0,2025-12-16
16213.0,407765.0,R59638051,,FAN SEGMENT,ECHARPE SUPPORTER,1.0,18.0,2025-12-16
16214.0,407765.0,R59638051,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-12-16
17163.0,408203.0,R54051782,1020.0,ESSENTIALS,SWEAT ESSENTIEL CREW,1.0,55.0,2025-12-21
17164.0,408203.0,R54051782,1020.0,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-21
17165.0,408203.0,R54051782,1020.0,ESSENTIALS,CHAUSSETTES PAIRE,1.0,12.0,2025-12-21
17704.0,408466.0,R59737903,,FAN SEGMENT,HOODIE FAN CAPUCHE,1.0,69.0,2025-12-23
17705.0,408466.0,R59737903,,MATCHWEAR,MAILLOT FLOQUE JOUEUR,1.0,98.0,2025-12-23
17706.0,408466.0,R59737903,,ESSENTIALS,CHAUSSETTES PAIRE,1.0,12.0,2025-12-23
17871.0,408554.0,R53792349,,ACCESSORIES,MUG CERAMIQUE,1.0,12.0,2025-12-23
17872.0,408554.0,R53792349,,FAN SEGMENT,T-SHIRT FAN REVERSIBLE,1.0,39.0,2025-12-23
17873.0,408554.0,R53792349,,TRAINING,BALLON TAILLE 7,1.0,40.0,2025-12-23
