charge_id,order_id,ext_id,delivery_mode_id,amount,order_date
200001,900001,R51003065,2,2.0,2025-07-14
200002,900002,R51017164,2,0.0,2025-07-24
200003,900003,R51139764,2,0.0,2025-07-04
200004,900004,R51283819,2,2.0,2025-08-24
200005,900005,,2,2.0,2025-07-10
200006,900006,R51316308,2,0.0,2025-07-28
200007,900007,R51317534,2,0.0,2025-08-20
200008,900008,R51348184,2,0.0,2025-07-05
200009,900009,R51392933,2,2.0,2025-07-31
200010,900010,R51432778,2,0.0,2025-07-31
200011,900011,R51535762,2,0.0,2025-07-19
200012,900012,R51597062,2,0.0,2025-08-04
200013,900013,R51697594,2,0.0,2025-07-13
200014,900014,R51744182,2,0.0,2025-08-14
200015,900015,R51763185,2,0.0,2025-07-11
200016,900016,R51782801,2,0.0,2025-07-18
200017,900017,R51808547,2,0.0,2025-08-16
200018,900018,R51856361,2,0.0,2025-07-04
200019,900019,R51908466,2,0.0,2025-07-30
200020,900020,R51974670,2,0.0,2025-08-18
200021,900021,R52008385,2,1.5,2025-07-20
200022,900022,R52017580,2,2.0,2025-08-22
200023,900023,R52085623,2,2.0,2025-08-23
200024,900024,R52111369,2,2.0,2025-08-20
200025,900025,R52137728,2,0.0,2025-07-19
200026,900026,R52195963,2,2.0,2025-08-07
200027,900027,R52214966,2,1.5,2025-08-14
200028,900028,R52241938,2,0.0,2025-07-10
200029,900029,R52243777,2,0.0,2025-07-14
200030,900030,R52246842,2,1.5,2025-08-21
200031,900031,R52260941,2,0.0,2025-08-05
200032,900032,R52275040,2,0.0,2025-08-22
200033,900033,R52362086,2,2.0,2025-07-14
200034,900034,R52436872,2,0.0,2025-07-24
200035,900035,R52440550,2,0.0,2025-08-07
200036,900036,R52447906,2,0.0,2025-08-03
200037,900037,R52452810,2,0.0,2025-07-28
200038,900038,R52479782,2,0.0,2025-07-01
200039,900039,R52493881,2,2.0,2025-07-04
200040,900040,R52588896,2,2.0,2025-07-16
200041,900041,R52606060,2,2.0,2025-08-13
200042,900042,R52664295,2,0.0,2025-07-17
200043,900043,R52669199,2,0.0,2025-07-05
200044,900044,R52768505,2,0.0,2025-08-04
200045,900045,,2,0.0,2025-08-25
200046,900046,R52861068,2,0.0,2025-08-07
200047,900047,R52872715,2,0.0,2025-08-04
200048,900048,R52927885,2,2.0,2025-07-02
200049,900049,R52959148,2,0.0,2025-07-30
200050,900050,R53004510,2,1.5,2025-08-11
200051,900051,R53113624,2,1.5,2025-07-12
200052,900052,R53124658,2,0.0,2025-07-31
200053,900053,R53234998,2,1.5,2025-07-19
200054,900054,R53257066,2,0.0,2025-07-20
200055,900055,R53291394,2,0.0,2025-08-17
200056,900056,R53304880,2,1.5,2025-07-09
200057,900057,R53405412,2,2.0,2025-07-04
200058,900058,R53423802,2,2.0,2025-08-19
200059,900059,R53634061,2,1.5,2025-07-31
200060,900060,R53663485,2,0.0,2025-08-13
200061,900061,R53703330,2,0.0,2025-08-23
200062,900062,R53780568,2,0.0,2025-07-01
200063,900063,R53784246,2,2.0,2025-08-23
200064,900064,R53789150,2,2.0,2025-07-13
200065,900065,R53840642,2,0.0,2025-07-14
200066,900066,R53911137,2,0.0,2025-08-05
200067,900067,R53920332,2,2.0,2025-07-19
200068,900068,R53961403,2,1.5,2025-07-18
200069,900069,R54074808,2,2.0,2025-08-20
200070,900070,R54278324,2,2.0,2025-07-09
200071,900071,R54358627,2,1.5,2025-07-29
200072,900072,R54454255,2,2.0,2025-08-15
200073,900073,R54503908,2,0.0,2025-07-06
200074,900074,R54583598,2,0.0,2025-07-04
200075,900075,R54597697,2,1.5,2025-07-10
200076,900076,R54662062,2,1.5,2025-08-11
200077,900077,R54668805,2,1.5,2025-08-21
200078,900078,R54679226,2,2.0,2025-08-18
200079,900079,R54704359,2,0.0,2025-08-25
200080,900080,R54799987,2,0.0,2025-08-18
200081,900081,R54831250,2,0.0,2025-07-08
200082,900082,R54843510,2,2.0,2025-07-15
200083,900083,R54869869,2,1.5,2025-08-25
200084,900084,R54896841,2,2.0,2025-08-07
200085,900085,R54908488,2,0.0,2025-07-26
200086,900086,R54912166,2,2.0,2025-07-17
200087,900087,R54934234,2,2.0,2025-08-09
200088,900088,R54956302,2,0.0,2025-08-04
200089,900089,R55049478,2,2.0,2025-07-16
200090,900090,R55096679,2,2.0,2025-07-16
200091,900091,R55128555,2,2.0,2025-07-25
200092,900092,R55137750,2,2.0,2025-08-18
200093,900093,R55168400,2,2.0,2025-07-24
200094,900094,R55199050,2,0.0,2025-07-16
200095,900095,R55225409,2,0.0,2025-07-25
200096,900096,R55241960,2,2.0,2025-07-08
200097,900097,R55264641,2,0.0,2025-07-20
200098,900098,R55330232,2,1.5,2025-07-19
200099,900099,R55422795,2,2.0,2025-08-07
200100,900100,R55424634,2,0.0,2025-08-21
200101,900101,R55519036,2,0.0,2025-08-07
200102,900102,R55519649,2,0.0,2025-07-09
200103,900103,R55546008,2,2.0,2025-07-26
200104,900104,R55548460,2,0.0,2025-07-02
200105,900105,R55601791,2,0.0,2025-08-01
200106,900106,R55609147,2,0.0,2025-07-28
200107,900107,R55627537,2,0.0,2025-07-19
200108,900108,R55701097,2,2.0,2025-07-23
200109,900109,R55722552,2,1.5,2025-08-03
200110,900110,,2,2.0,2025-08-07
200111,900111,R55884997,2,2.0,2025-08-12
200112,900112,,2,0.0,2025-07-05
200113,900113,R55903387,2,2.0,2025-07-01
200114,900114,R55952427,2,0.0,2025-08-07
200115,900115,R56002693,2,0.0,2025-08-19
200116,900116,R56067058,2,0.0,2025-07-03
200117,900117,R56111194,2,2.0,2025-08-21
200118,900118,R56193949,2,0.0,2025-08-20
200119,900119,R56222760,2,2.0,2025-08-11
200120,900120,R56262605,2,0.0,2025-08-04
200121,900121,R56309806,2,2.0,2025-07-11
200122,900122,R56389496,2,0.0,2025-07-07
200123,900123,R56406047,2,2.0,2025-07-24
200124,900124,R56493093,2,0.0,2025-08-10
200125,900125,R56517000,2,0.0,2025-08-23
200126,900126,R56624888,2,2.0,2025-08-19
200127,900127,R56657990,2,2.0,2025-08-25
200128,900128,R56671476,2,0.0,2025-07-21
200129,900129,R56689253,2,0.0,2025-07-20
200130,900130,R56716838,2,0.0,2025-08-12
