payment_id,order_id,ext_id,payment_type_id,amount,payment_date
300002,900001,R51003065,2,4626.38,2025-07-14
300006,900003,R51139764,2,2348.82,2025-07-04
300011,900005,,2,800.67,2025-07-10
300014,900007,R51317534,2,1103.21,2025-08-20
300017,900009,R51392933,2,800.67,2025-07-31
300024,900013,R51697594,2,604.95,2025-07-13
300029,900015,R51763185,2,1459.05,2025-07-11
300032,900018,R51856361,2,605.0,2025-07-04
300033,900019,R51908466,2,2758.0,2025-07-30
300035,900021,R52008385,2,1103.21,2025-07-20
300037,900022,R52017580,2,2348.82,2025-08-22
300039,900024,R52111369,2,1459.05,2025-08-20
300040,900025,R52137728,2,1459.05,2025-07-19
300044,900027,R52214966,2,1459.05,2025-08-14
300077,900045,,2,801.0,2025-08-25
300080,900047,R52872715,2,2348.82,2025-08-04
300085,900050,R53004510,2,800.67,2025-08-11
300086,900051,R53113624,2,605.0,2025-07-12
300088,900053,R53234998,2,800.67,2025-07-19
300093,900057,R53405412,2,1921.63,2025-07-04
300111,900070,R54278324,2,800.67,2025-07-09
300114,900072,R54454255,2,4626.38,2025-08-15
300126,900078,R54679226,2,5338.01,2025-08-18
300128,900079,R54704359,2,1103.21,2025-08-25
300130,900082,R54843510,2,2348.82,2025-07-15
300139,900087,R54934234,2,605.0,2025-08-09
300143,900090,R55096679,2,1103.21,2025-07-16
300171,900106,R55609147,2,1459.05,2025-07-28
300182,900115,R56002693,2,1459.05,2025-08-19
300186,900117,R56111194,2,2348.82,2025-08-21
300190,900120,R56262605,2,1103.0,2025-08-04
300192,900122,R56389496,2,1922.0,2025-07-07
300195,900124,R56493093,2,605.0,2025-08-10
300199,900126,R56624888,2,1103.0,2025-08-19
300205,900130,R56716838,2,800.67,2025-08-12
300207,900131,R56741358,2,1921.63,2025-08-20
300209,900132,R56746262,2,2348.82,2025-07-21
300211,900134,R56776912,2,4626.38,2025-08-13
300228,900144,,2,800.67,2025-07-02
300229,900145,R57236049,2,4626.38,2025-07-03
300232,900146,R57318804,2,9075.0,2025-07-02
300236,900150,R57757712,2,1103.0,2025-07-18
300261,900168,R58473083,2,1921.63,2025-07-21
300262,900169,R58486569,2,4626.38,2025-08-02
300267,900172,R58595683,2,801.0,2025-07-09
