match_id,match,date,competition,lieu,revenu_billetterie,revenu_buvette,revenu_total,nb_billets,taux_remplissage_pct
1000,PBB - Virtus Bologna,2025-10-09,COUPE EUROPEENNE,ADIDAS ARENA,334982.48,30901.0,365883.48,5310,66.4
1001,PBB - Monaco,2025-10-12,CHAMPIONNAT NATIONAL,ADIDAS ARENA,388227.31,43103.5,431330.81,6878,86.0
1002,PBB - Kosner Baskonia Vitoria-Gasteiz,2025-10-15,COUPE EUROPEENNE,ADIDAS ARENA,352815.95,31165.5,383981.45,5661,70.8
1003,PBB - Hapoel Shlomo Tel Aviv,2025-10-17,COUPE EUROPEENNE,ADIDAS ARENA,550556.58,40830.5,591387.08,7772,97.2
1004,PBB - Dijon,2025-10-19,CHAMPIONNAT NATIONAL,ADIDAS ARENA,133928.0,20199.5,154127.5,3317,41.5
1005,PBB - Anadolu Efes Istanbul,2025-10-28,COUPE EUROPEENNE,ADIDAS ARENA,340565.87,33266.5,373832.37,6107,76.3
1006,PBB - FC Bayern Munich,2025-11-06,COUPE EUROPEENNE,ADIDAS ARENA,400241.38,37671.5,437912.88,6500,81.2
1007,PBB - Limoges,2025-11-09,CHAMPIONNAT NATIONAL,ADIDAS ARENA,296681.54,33631.0,330312.54,6091,76.1
1008,PBB - Panathinaikos AKTOR Athens,2025-11-11,COUPE EUROPEENNE,ADIDAS ARENA,413832.07,35723.5,449555.57,6134,76.7
1009,PBB - Valencia Basket,2025-11-13,COUPE EUROPEENNE,ADIDAS ARENA,473076.11,39722.5,512798.61,6987,87.3
1010,PBB - Saint-Quentin,2025-12-07,CHAMPIONNAT NATIONAL,ADIDAS ARENA,229045.48,25759.0,254804.48,4395,54.9
1011,PBB - Le Portel,2025-12-09,CHAMPIONNAT NATIONAL,ADIDAS ARENA,213328.36000000002,25031.5,238359.86000000002,4966,62.1
1012,PBB - Zalgiris Kaunas,2025-12-11,COUPE EUROPEENNE,ADIDAS ARENA,493525.45,49966.5,543491.95,7758,97.0
1013,PBB - FC Barcelona,2025-12-16,COUPE EUROPEENNE,ADIDAS ARENA,577587.71,37554.0,615141.71,7683,96.0
1014,PBB - Cholet,2025-12-21,CHAMPIONNAT NATIONAL,ADIDAS ARENA,317787.34,37462.5,355249.84,6700,83.8
1015,PBB - Crvena Zvezda Meridianbet Belgrade,2025-12-23,COUPE EUROPEENNE,ADIDAS ARENA,474051.46,35367.0,509418.46,6740,84.2
1016,PBB - Strasbourg,2026-01-13,CHAMPIONNAT NATIONAL,ADIDAS ARENA,302950.74,32490.0,335440.74,6107,76.3
1017,PBB - AS Monaco,2026-01-15,COUPE EUROPEENNE,ACCOR ARENA,1047382.12,76381.5,1123763.62,14379,95.9
1018,PBB - Le Mans,2026-01-18,CHAMPIONNAT NATIONAL,ADIDAS ARENA,503687.04,38716.5,542403.54,7098,88.7
1019,PBB - Dubai Basketball,2026-01-22,COUPE EUROPEENNE,ADIDAS ARENA,425033.06,32060.0,457093.06,6992,87.4
1020,PBB - Real Madrid,2026-01-27,COUPE EUROPEENNE,ACCOR ARENA,1041675.48,81459.0,1123134.48,14214,94.8
1021,PBB - Boulazac,2026-02-01,CHAMPIONNAT NATIONAL,ADIDAS ARENA,347122.95,31209.0,378331.95,5804,72.6
1022,PBB - Fenerbahce Beko Istanbul,2026-02-05,COUPE EUROPEENNE,ACCOR ARENA,1442794.14,84081.0,1526875.14,14258,95.1
1023,PBB - Nancy,2026-02-07,CHAMPIONNAT NATIONAL,ADIDAS ARENA,340668.12,41805.0,382473.12,7256,90.7
1024,PBB - Olympiacos Piraeus,2026-03-10,COUPE EUROPEENNE,ACCOR ARENA,1475880.04,73187.5,1549067.54,14151,94.3
1025,PBB - LDLC ASVEL Villeurbanne,2026-03-12,COUPE EUROPEENNE,ADIDAS ARENA,235009.07,27540.5,262549.57,4587,57.3
1026,PBB - Gravelines-Dunkerque,2026-03-15,CHAMPIONNAT NATIONAL,ADIDAS ARENA,290153.48,42632.5,332785.98,6164,77.0
1027,PBB - Partizan Mozzart Bet Belgrade,2026-03-19,COUPE EUROPEENNE,ADIDAS ARENA,382945.51,39460.5,422406.01,7069,88.4
1028,PBB - Bourg-en-Bresse,2026-03-22,CHAMPIONNAT NATIONAL,ADIDAS ARENA,483844.15,42775.5,526619.65,7188,89.8
1029,PBB - EA7 Emporio Armani Milan,2026-04-02,COUPE EUROPEENNE,ADIDAS ARENA,525360.87,37728.0,563088.87,6372,79.6
1030,PBB - Nanterre,2026-04-04,CHAMPIONNAT NATIONAL,ADIDAS ARENA,355657.81,42740.5,398398.31,7123,89.0
1031,PBB - Maccabi Rapyd Tel Aviv,2026-04-09,COUPE EUROPEENNE,ADIDAS ARENA,440814.6,34461.5,475276.1,6328,79.1
1032,PBB - Chalon/Saône,2026-05-02,CHAMPIONNAT NATIONAL,ADIDAS ARENA,289965.35,34977.5,324942.85,6113,76.4
1033,PBB - Lyon-Villeurbanne,2026-05-16,CHAMPIONNAT NATIONAL,ADIDAS ARENA,437782.98,45034.0,482816.98,6384,79.8
1034,PBB - Strasbourg,2026-05-26,PLAYOFFS CHAMPIONNAT,ADIDAS ARENA,336689.85,27855.0,364544.85,5901,73.8
1035,PBB - Strasbourg,2026-05-30,PLAYOFFS CHAMPIONNAT,ADIDAS ARENA,327695.55,46411.0,374106.55,6082,76.0
1036,PBB - Cholet,2026-06-02,PLAYOFFS CHAMPIONNAT,ADIDAS ARENA,535889.89,33455.5,569345.39,7537,94.2
1037,PBB - Cholet,2026-06-04,PLAYOFFS CHAMPIONNAT,ADIDAS ARENA,330624.21,30968.0,361592.21,6541,81.8
1038,PBB - Monaco,2026-06-14,PLAYOFFS CHAMPIONNAT,ADIDAS ARENA,601907.0,54622.5,656529.5,7690,96.1
1039,PBB - Monaco,2026-06-17,PLAYOFFS CHAMPIONNAT,ADIDAS ARENA,510655.31,34567.0,545222.31,7685,96.1
1040,PBB - Monaco,2026-06-23,PLAYOFFS CHAMPIONNAT,ADIDAS ARENA,434719.62,33784.0,468503.62,7680,96.0
